entity,label,start_char,end_char,sentence
Crassus,PERSON,2304,2311,"The greatest part of this, if one must tell the truth, though it be a scandalous story, he got together out of the fire and the war, making the public misfortunes the source of his wealth; for, when Sulla took the city, and sold the property of those whom he put to death, considering it and calling it spoil, and wishing to attach the infamy of the deed to as many of the most powerful men as he could, Crassus was never tired of receiving or buying."
Rome,GPE,2427,2431,"Besides this, observing the accidents that were indigenous and familiar at Rome, conflagrations, and tumbling down of houses owing to their weight and crowded state, he bought slaves, who were architects and builders."
Rome,GPE,2844,2848,"thus the greatest part of Rome fell into the hands of Crassus: but, though he had so many artizans, he built no house except his own; for he used to say that those who were fond of building were ruined by themselves, without the aid of any opponent."
Crassus,PERSON,2872,2879,"thus the greatest part of Rome fell into the hands of Crassus: but, though he had so many artizans, he built no house except his own; for he used to say that those who were fond of building were ruined by themselves, without the aid of any opponent."
Crassus,PERSON,3604,3611,"And here Crassus was right, if, as he used to say, it was his opinion that he ought to effect everything by the instrumentality of slaves, and that he himself should direct the slaves; for, we observe, that what is economical with respect to things lifeless is political with respect to men."
Archidamus,PERSON,4058,4068,"But he was not right in thinking and saying that nobody was rich who could not maintain an army out of his substance; for war feeds not by a fixed allowance, according to Archidamus; and, consequently, the wealth that is required for war is unlimited; and this opinion of Crassus was very different from the opinion of Marius; for when Marius, after giving to each man fourteen jugera of land, found that they wanted more"
Crassus,PERSON,4159,4166,"But he was not right in thinking and saying that nobody was rich who could not maintain an army out of his substance; for war feeds not by a fixed allowance, according to Archidamus; and, consequently, the wealth that is required for war is unlimited; and this opinion of Crassus was very different from the opinion of Marius; for when Marius, after giving to each man fourteen jugera of land, found that they wanted more"
Marius,PERSON,4206,4212,"But he was not right in thinking and saying that nobody was rich who could not maintain an army out of his substance; for war feeds not by a fixed allowance, according to Archidamus; and, consequently, the wealth that is required for war is unlimited; and this opinion of Crassus was very different from the opinion of Marius; for when Marius, after giving to each man fourteen jugera of land, found that they wanted more"
Marius,PERSON,4223,4229,"But he was not right in thinking and saying that nobody was rich who could not maintain an army out of his substance; for war feeds not by a fixed allowance, according to Archidamus; and, consequently, the wealth that is required for war is unlimited; and this opinion of Crassus was very different from the opinion of Marius; for when Marius, after giving to each man fourteen jugera of land, found that they wanted more"
Roman,NORP,4341,4346,", he said, ""May there never be a Roman who thinks that too little which is enough to maintain him."""
Crassus,PERSON,4428,4435,"Besides this, Crassus was hospitable to strangers, for his house was open to all, and he used to lend money to his friends without interest; but he would demand it back immediately on the expiration of the time of the borrower, which made the gratuitous loan more burdensome than heavy interest."
Romans,NORP,5114,5120,"In his literary pursuits he mainly studied oratory, and that kind which was of practical use; and, having attained an ability in speaking equal to the first among the Romans, he surpassed in care and labour those who had the greatest talents; for they say, there was no case, however mean and contemptible, which he approached without preparation; and often, when Pompeius, and Cæsar, and Cicero, were unwilling to get up to speak, he would perform all the duties of an advocate: and for this reason he became more popular, being considered a careful man, and always ready to give his help."
Pompeius,PERSON,5311,5319,"In his literary pursuits he mainly studied oratory, and that kind which was of practical use; and, having attained an ability in speaking equal to the first among the Romans, he surpassed in care and labour those who had the greatest talents; for they say, there was no case, however mean and contemptible, which he approached without preparation; and often, when Pompeius, and Cæsar, and Cicero, were unwilling to get up to speak, he would perform all the duties of an advocate: and for this reason he became more popular, being considered a careful man, and always ready to give his help."
Cæsar,PERSON,5325,5330,"In his literary pursuits he mainly studied oratory, and that kind which was of practical use; and, having attained an ability in speaking equal to the first among the Romans, he surpassed in care and labour those who had the greatest talents; for they say, there was no case, however mean and contemptible, which he approached without preparation; and often, when Pompeius, and Cæsar, and Cicero, were unwilling to get up to speak, he would perform all the duties of an advocate: and for this reason he became more popular, being considered a careful man, and always ready to give his help."
Cicero,PERSON,5336,5342,"In his literary pursuits he mainly studied oratory, and that kind which was of practical use; and, having attained an ability in speaking equal to the first among the Romans, he surpassed in care and labour those who had the greatest talents; for they say, there was no case, however mean and contemptible, which he approached without preparation; and often, when Pompeius, and Cæsar, and Cicero, were unwilling to get up to speak, he would perform all the duties of an advocate: and for this reason he became more popular, being considered a careful man, and always ready to give his help."
Crassus,PERSON,5651,5658,"He pleased people, also, by his friendly and affable manner in taking them by the hand, and addressing them; for Crassus never met a Roman, however low and humble his condition might be, without returning his salute, and addressing him by his name."
Aristoteles,PERSON,5914,5925,"He is also said to have been well versed in history, and to have paid some attention to philosophy by studying the writings of Aristoteles, in which he had for his teacher Alexander, a man who gave a proof of his moderation and easy temper in his intercourse with Crassus; for it was not easy to say whether he was poorer when he became acquainted with Crassus, or after the acquaintance was made."
Alexander,PERSON,5959,5968,"He is also said to have been well versed in history, and to have paid some attention to philosophy by studying the writings of Aristoteles, in which he had for his teacher Alexander, a man who gave a proof of his moderation and easy temper in his intercourse with Crassus; for it was not easy to say whether he was poorer when he became acquainted with Crassus, or after the acquaintance was made."
Crassus,PERSON,6051,6058,"He is also said to have been well versed in history, and to have paid some attention to philosophy by studying the writings of Aristoteles, in which he had for his teacher Alexander, a man who gave a proof of his moderation and easy temper in his intercourse with Crassus; for it was not easy to say whether he was poorer when he became acquainted with Crassus, or after the acquaintance was made."
Crassus,PERSON,6140,6147,"He is also said to have been well versed in history, and to have paid some attention to philosophy by studying the writings of Aristoteles, in which he had for his teacher Alexander, a man who gave a proof of his moderation and easy temper in his intercourse with Crassus; for it was not easy to say whether he was poorer when he became acquainted with Crassus, or after the acquaintance was made."
Crassus,PERSON,6220,6227,"He was, indeed, the only friend of Crassus, who always accompanied him when he travelled abroad; and he used to wear a cloak, lent him for the purpose, which on his return he was asked to give back."
Marius,PERSON,6545,6551,"When Marius and Cinna had got the upper hand, and it was soon apparent that they would reinstate themselves in Rome, not for the benefit of their country, but plainly for the destruction and ruin of the nobles, those who were caught in the city were put to death: among whom were the father and brother of Crassus."
Cinna,PERSON,6556,6561,"When Marius and Cinna had got the upper hand, and it was soon apparent that they would reinstate themselves in Rome, not for the benefit of their country, but plainly for the destruction and ruin of the nobles, those who were caught in the city were put to death: among whom were the father and brother of Crassus."
Rome,GPE,6651,6655,"When Marius and Cinna had got the upper hand, and it was soon apparent that they would reinstate themselves in Rome, not for the benefit of their country, but plainly for the destruction and ruin of the nobles, those who were caught in the city were put to death: among whom were the father and brother of Crassus."
Crassus,PERSON,6846,6853,"When Marius and Cinna had got the upper hand, and it was soon apparent that they would reinstate themselves in Rome, not for the benefit of their country, but plainly for the destruction and ruin of the nobles, those who were caught in the city were put to death: among whom were the father and brother of Crassus."
Crassus,PERSON,6855,6862,"Crassus, being very young, escaped immediate danger; but, seeing that he was hemmed in on all sides, and hunted by the tyrants, he took with him three friends and ten slaves; and, using wonderful expedition, made his escape to Iberia, having been there before, when his father was Prætor, and having made himself friends."
Iberia,GPE,7082,7088,"Crassus, being very young, escaped immediate danger; but, seeing that he was hemmed in on all sides, and hunted by the tyrants, he took with him three friends and ten slaves; and, using wonderful expedition, made his escape to Iberia, having been there before, when his father was Prætor, and having made himself friends."
Prætor,PERSON,7136,7142,"Crassus, being very young, escaped immediate danger; but, seeing that he was hemmed in on all sides, and hunted by the tyrants, he took with him three friends and ten slaves; and, using wonderful expedition, made his escape to Iberia, having been there before, when his father was Prætor, and having made himself friends."
Marius,PERSON,7236,7242,"Finding all in great alarm and trembling at the cruelty of Marius, as if he were close at hand, he did not venture to make himself known, but sought refuge in a tract bordering on the sea, belonging to Vibius Pacianus, where he hid himself in a large cave."
Vibius Pacianus,PERSON,7379,7394,"Finding all in great alarm and trembling at the cruelty of Marius, as if he were close at hand, he did not venture to make himself known, but sought refuge in a tract bordering on the sea, belonging to Vibius Pacianus, where he hid himself in a large cave."
Vibius,PERSON,7453,7459,He sent a slave to Vibius to sound his disposition; for the provisions that Crassus brought with him were now exhausted.
Crassus,PERSON,7510,7517,He sent a slave to Vibius to sound his disposition; for the provisions that Crassus brought with him were now exhausted.
Vibius,PERSON,7576,7582,"On hearing the news, Vibius was pleased that Crassus had escaped; and inquiring about the number of persons with him, and where the place was, he did not go himself to see them, but he took his villicus near the spot, and ordered him to have food daily prepared, and to carry it and place it near the rock, and to go away without speaking a word, and not to be curious about the matter, or make any inquiries; and he gave him notice, that if he did meddle at all he should be put to death, but if he faithfully helped in the matter he should have his freedom."
Crassus,PERSON,7600,7607,"On hearing the news, Vibius was pleased that Crassus had escaped; and inquiring about the number of persons with him, and where the place was, he did not go himself to see them, but he took his villicus near the spot, and ordered him to have food daily prepared, and to carry it and place it near the rock, and to go away without speaking a word, and not to be curious about the matter, or make any inquiries; and he gave him notice, that if he did meddle at all he should be put to death, but if he faithfully helped in the matter he should have his freedom."
Crassus,PERSON,8865,8872,"While Crassus stayed in the cave, the slave came daily to bring provisions; but he did not see the persons who were concealed, or know who they were; though he was seen by them, inasmuch as they knew, and watched the times of his coming."
Vibius,PERSON,9233,9239,"But Vibius determined to show Crassus every kind of friendly attention; and it occurred to him to consider the youth of Crassus, that he was a very young man, and that provision should be made in some degree also for the pleasures suitable to his age, and that merely to supply his wants would argue that he was serving Crassus as little as he could, rather than with hearty zeal"
Crassus,PERSON,9259,9266,"But Vibius determined to show Crassus every kind of friendly attention; and it occurred to him to consider the youth of Crassus, that he was a very young man, and that provision should be made in some degree also for the pleasures suitable to his age, and that merely to supply his wants would argue that he was serving Crassus as little as he could, rather than with hearty zeal"
Crassus,PERSON,9349,9356,"But Vibius determined to show Crassus every kind of friendly attention; and it occurred to him to consider the youth of Crassus, that he was a very young man, and that provision should be made in some degree also for the pleasures suitable to his age, and that merely to supply his wants would argue that he was serving Crassus as little as he could, rather than with hearty zeal"
Crassus,PERSON,9549,9556,"But Vibius determined to show Crassus every kind of friendly attention; and it occurred to him to consider the youth of Crassus, that he was a very young man, and that provision should be made in some degree also for the pleasures suitable to his age, and that merely to supply his wants would argue that he was serving Crassus as little as he could, rather than with hearty zeal"
Crassus,PERSON,9800,9807,"Crassus, seeing them approach, was afraid that the spot was known, and had been discovered; and, accordingly, he asked them what they wanted, and who they were."
Crassus,PERSON,10084,10091,"The women replied, as they had been instructed, that they were looking for their master, who was concealed there; on which Crassus perceived the joke which Vibius was playing off upon him, and his kind attentions, and received the women; and they stayed with him for the rest of the time, telling and reporting to Vibius what he requested them."
Vibius,PERSON,10117,10123,"The women replied, as they had been instructed, that they were looking for their master, who was concealed there; on which Crassus perceived the joke which Vibius was playing off upon him, and his kind attentions, and received the women; and they stayed with him for the rest of the time, telling and reporting to Vibius what he requested them."
Vibius,PERSON,10275,10281,"The women replied, as they had been instructed, that they were looking for their master, who was concealed there; on which Crassus perceived the joke which Vibius was playing off upon him, and his kind attentions, and received the women; and they stayed with him for the rest of the time, telling and reporting to Vibius what he requested them."
Fenestella,PERSON,10306,10316,"Fenestella says, that he saw one of these slaves when she was an old woman, and that he had often heard her mention this, and tell the story with pleasure."
Crassus,PERSON,10479,10486,"In this way Crassus spent eight months in concealment; but as soon as he heard of Cinna's end, he showed himself, and out of the numbers that flocked to him he selected two thousand five hundred, with whom he went round to the cities; and one city, Malaca, he plundered, according to the testimony of many authors, though they say that he denied the fact, and contradicted those who affirmed it."
Cinna,PERSON,10549,10554,"In this way Crassus spent eight months in concealment; but as soon as he heard of Cinna's end, he showed himself, and out of the numbers that flocked to him he selected two thousand five hundred, with whom he went round to the cities; and one city, Malaca, he plundered, according to the testimony of many authors, though they say that he denied the fact, and contradicted those who affirmed it."
Malaca,GPE,10716,10722,"In this way Crassus spent eight months in concealment; but as soon as he heard of Cinna's end, he showed himself, and out of the numbers that flocked to him he selected two thousand five hundred, with whom he went round to the cities; and one city, Malaca, he plundered, according to the testimony of many authors, though they say that he denied the fact, and contradicted those who affirmed it."
Libya,GPE,10924,10929,"After this he got together some vessels, and crossed over to Libya, to Metellus Pius, a man of reputation who had collected a force by no means contemptible."
Metellus Pius,PERSON,10934,10947,"After this he got together some vessels, and crossed over to Libya, to Metellus Pius, a man of reputation who had collected a force by no means contemptible."
Metellus,PERSON,11078,11086,"But he stayed no long time there; for he quarrelled with Metellus, and then set out to join Sulla, by whom he was treated with particular respect."
Sulla,PERSON,11113,11118,"But he stayed no long time there; for he quarrelled with Metellus, and then set out to join Sulla, by whom he was treated with particular respect."
Sulla,PERSON,11173,11178,"When Sulla had passed over the sea to Italy, he wished all the young men who were with him to aid him actively, and he appointed them to different duties."
Italy,GPE,11206,11211,"When Sulla had passed over the sea to Italy, he wished all the young men who were with him to aid him actively, and he appointed them to different duties."
Crassus,PERSON,11323,11330,"Crassus, on being sent into the country of the Marsi to raise troops, asked for a guard, because the road lay through a tract which was occupied by the enemy; Sulla replied to him in passion and with vehemence, ""I give thee as guards thy father, thy brother, thy friends, thy kinsmen, who were cut off illegally and wrongfully, and whose murderers I am now pursuing."""
Marsi,LOC,11370,11375,"Crassus, on being sent into the country of the Marsi to raise troops, asked for a guard, because the road lay through a tract which was occupied by the enemy; Sulla replied to him in passion and with vehemence, ""I give thee as guards thy father, thy brother, thy friends, thy kinsmen, who were cut off illegally and wrongfully, and whose murderers I am now pursuing."""
Sulla,PERSON,11482,11487,"Crassus, on being sent into the country of the Marsi to raise troops, asked for a guard, because the road lay through a tract which was occupied by the enemy; Sulla replied to him in passion and with vehemence, ""I give thee as guards thy father, thy brother, thy friends, thy kinsmen, who were cut off illegally and wrongfully, and whose murderers I am now pursuing."""
Crassus,PERSON,11748,11755,"Stung by these words, and pricked on to the undertaking, Crassus immediately set out, and, vigorously making his way through the enemy, he got together a strong force, and showed himself active in the battles of Sulla."
Sulla,PERSON,11903,11908,"Stung by these words, and pricked on to the undertaking, Crassus immediately set out, and, vigorously making his way through the enemy, he got together a strong force, and showed himself active in the battles of Sulla."
Pompeius,PERSON,11996,12004,"The events of that war, it is said, first excited him to rivalry and competition with Pompeius for distinction."
Pompeius,PERSON,12022,12030,"Pompeius was younger than Crassus, and his father had a bad repute at Rome, and had been bitterly hated by the citizens; but still Pompeius shone conspicuous in the events of that period and proved himself to be a great man, so that Sulla showed him marks of respect which he did not very often show to others of more advanced years and of his own rank, by rising from his seat when Pompeius approached, and uncovering his head, and addressing him by the title of Imperator."
Crassus,PERSON,12048,12055,"Pompeius was younger than Crassus, and his father had a bad repute at Rome, and had been bitterly hated by the citizens; but still Pompeius shone conspicuous in the events of that period and proved himself to be a great man, so that Sulla showed him marks of respect which he did not very often show to others of more advanced years and of his own rank, by rising from his seat when Pompeius approached, and uncovering his head, and addressing him by the title of Imperator."
Rome,GPE,12092,12096,"Pompeius was younger than Crassus, and his father had a bad repute at Rome, and had been bitterly hated by the citizens; but still Pompeius shone conspicuous in the events of that period and proved himself to be a great man, so that Sulla showed him marks of respect which he did not very often show to others of more advanced years and of his own rank, by rising from his seat when Pompeius approached, and uncovering his head, and addressing him by the title of Imperator."
Pompeius,PERSON,12153,12161,"Pompeius was younger than Crassus, and his father had a bad repute at Rome, and had been bitterly hated by the citizens; but still Pompeius shone conspicuous in the events of that period and proved himself to be a great man, so that Sulla showed him marks of respect which he did not very often show to others of more advanced years and of his own rank, by rising from his seat when Pompeius approached, and uncovering his head, and addressing him by the title of Imperator."
Sulla,PERSON,12255,12260,"Pompeius was younger than Crassus, and his father had a bad repute at Rome, and had been bitterly hated by the citizens; but still Pompeius shone conspicuous in the events of that period and proved himself to be a great man, so that Sulla showed him marks of respect which he did not very often show to others of more advanced years and of his own rank, by rising from his seat when Pompeius approached, and uncovering his head, and addressing him by the title of Imperator."
Pompeius,PERSON,12405,12413,"Pompeius was younger than Crassus, and his father had a bad repute at Rome, and had been bitterly hated by the citizens; but still Pompeius shone conspicuous in the events of that period and proved himself to be a great man, so that Sulla showed him marks of respect which he did not very often show to others of more advanced years and of his own rank, by rising from his seat when Pompeius approached, and uncovering his head, and addressing him by the title of Imperator."
Imperator,PERSON,12486,12495,"Pompeius was younger than Crassus, and his father had a bad repute at Rome, and had been bitterly hated by the citizens; but still Pompeius shone conspicuous in the events of that period and proved himself to be a great man, so that Sulla showed him marks of respect which he did not very often show to others of more advanced years and of his own rank, by rising from his seat when Pompeius approached, and uncovering his head, and addressing him by the title of Imperator."
Crassus,PERSON,12510,12517,"All this set Crassus in a flame, and goaded him, inasmuch as he was thus slighted in comparison with Pompeius; and with good reason; Crassus was deficient in experience, and the credit that he got by his military exploits was lost by his innate vices,--love of gain and meanness; for, upon taking Tudertia, a city of the Umbri, it was suspected that he appropriated to himself most of the spoil, and this was made a matter of charge against him to Sulla."
Pompeius,PERSON,12598,12606,"All this set Crassus in a flame, and goaded him, inasmuch as he was thus slighted in comparison with Pompeius; and with good reason; Crassus was deficient in experience, and the credit that he got by his military exploits was lost by his innate vices,--love of gain and meanness; for, upon taking Tudertia, a city of the Umbri, it was suspected that he appropriated to himself most of the spoil, and this was made a matter of charge against him to Sulla."
Crassus,PERSON,12630,12637,"All this set Crassus in a flame, and goaded him, inasmuch as he was thus slighted in comparison with Pompeius; and with good reason; Crassus was deficient in experience, and the credit that he got by his military exploits was lost by his innate vices,--love of gain and meanness; for, upon taking Tudertia, a city of the Umbri, it was suspected that he appropriated to himself most of the spoil, and this was made a matter of charge against him to Sulla."
Tudertia,GPE,12794,12802,"All this set Crassus in a flame, and goaded him, inasmuch as he was thus slighted in comparison with Pompeius; and with good reason; Crassus was deficient in experience, and the credit that he got by his military exploits was lost by his innate vices,--love of gain and meanness; for, upon taking Tudertia, a city of the Umbri, it was suspected that he appropriated to himself most of the spoil, and this was made a matter of charge against him to Sulla."
Umbri,GPE,12818,12823,"All this set Crassus in a flame, and goaded him, inasmuch as he was thus slighted in comparison with Pompeius; and with good reason; Crassus was deficient in experience, and the credit that he got by his military exploits was lost by his innate vices,--love of gain and meanness; for, upon taking Tudertia, a city of the Umbri, it was suspected that he appropriated to himself most of the spoil, and this was made a matter of charge against him to Sulla."
Sulla,PERSON,12945,12950,"All this set Crassus in a flame, and goaded him, inasmuch as he was thus slighted in comparison with Pompeius; and with good reason; Crassus was deficient in experience, and the credit that he got by his military exploits was lost by his innate vices,--love of gain and meanness; for, upon taking Tudertia, a city of the Umbri, it was suspected that he appropriated to himself most of the spoil, and this was made a matter of charge against him to Sulla."
Rome,GPE,12980,12984,"However, in the battle near Rome, which was the greatest in all the war, and the last, Sulla was defeated, the soldiers under his command being put to flight, and some of them trampled down in the pursuit: Crassus, who commanded the right wing, was victorious, and, after continuing the pursuit till nightfall, he sent to Sulla to ask for something for his soldiers to eat, and to report his success."
Sulla,PERSON,13039,13044,"However, in the battle near Rome, which was the greatest in all the war, and the last, Sulla was defeated, the soldiers under his command being put to flight, and some of them trampled down in the pursuit: Crassus, who commanded the right wing, was victorious, and, after continuing the pursuit till nightfall, he sent to Sulla to ask for something for his soldiers to eat, and to report his success."
Crassus,PERSON,13158,13165,"However, in the battle near Rome, which was the greatest in all the war, and the last, Sulla was defeated, the soldiers under his command being put to flight, and some of them trampled down in the pursuit: Crassus, who commanded the right wing, was victorious, and, after continuing the pursuit till nightfall, he sent to Sulla to ask for something for his soldiers to eat, and to report his success."
Sulla,PERSON,13274,13279,"However, in the battle near Rome, which was the greatest in all the war, and the last, Sulla was defeated, the soldiers under his command being put to flight, and some of them trampled down in the pursuit: Crassus, who commanded the right wing, was victorious, and, after continuing the pursuit till nightfall, he sent to Sulla to ask for something for his soldiers to eat, and to report his success."
Bruttii,NORP,13544,13551,"It is said that, in the country of the Bruttii, he also proscribed a person, not pursuant to Sulla's orders, but merely to enrich himself thereby, and that, on this account, Sulla, who disapproved of his conduct, never employed him again in any public business."
Sulla,PERSON,13598,13603,"It is said that, in the country of the Bruttii, he also proscribed a person, not pursuant to Sulla's orders, but merely to enrich himself thereby, and that, on this account, Sulla, who disapproved of his conduct, never employed him again in any public business."
Sulla,PERSON,13679,13684,"It is said that, in the country of the Bruttii, he also proscribed a person, not pursuant to Sulla's orders, but merely to enrich himself thereby, and that, on this account, Sulla, who disapproved of his conduct, never employed him again in any public business."
Crassus,PERSON,13776,13783,"However, Crassus was most expert in gaining over everybody by flattery; and, on the other hand, he was easily taken in by flattery from any person."
Crassus,PERSON,14072,14079,"But Crassus was most annoyed at the military success of Pompeius, and his enjoying a triumph before he became a senator, and being called by the citizens Magnus, which means Great."
Pompeius,PERSON,14124,14132,"But Crassus was most annoyed at the military success of Pompeius, and his enjoying a triumph before he became a senator, and being called by the citizens Magnus, which means Great."
Magnus,PERSON,14222,14228,"But Crassus was most annoyed at the military success of Pompeius, and his enjoying a triumph before he became a senator, and being called by the citizens Magnus, which means Great."
Great,PERSON,14242,14247,"But Crassus was most annoyed at the military success of Pompeius, and his enjoying a triumph before he became a senator, and being called by the citizens Magnus, which means Great."
Pompeius,PERSON,14294,14302,"On one occasion, when somebody observed that Pompeius the Great was approaching, Crassus smiled, and asked, How great he was?"
Crassus,PERSON,14330,14337,"On one occasion, when somebody observed that Pompeius the Great was approaching, Crassus smiled, and asked, How great he was?"
Crassus,PERSON,14383,14390,"But, as Crassus despaired of equalling Pompeius in military reputation, he entered upon a political career, and, by his activity, by pleading in the courts, and lending money, and by canvassing for candidates, and subjecting himself to all kinds of scrutiny in conjunction with those who wanted anything of the people"
Pompeius,PERSON,14414,14422,"But, as Crassus despaired of equalling Pompeius in military reputation, he entered upon a political career, and, by his activity, by pleading in the courts, and lending money, and by canvassing for candidates, and subjecting himself to all kinds of scrutiny in conjunction with those who wanted anything of the people"
Pompeius,PERSON,14743,14751,", he acquired a power and reputation equal to what Pompeius had got by his many and great military services."
Pompeius,PERSON,14865,14873,"And the result to each of them was something unusual; for, when Pompeius was absent from Rome, his name and his influence in the State, by reason of his military exploits, was superior to that of Crassus; but when Pompeius was at Rome, he often fell short of Crassus in influence, for his haughty temper and habitual pride made him avoid crowds and retire from the Forum, and seldom give his aid to those who sought it, and then not readily; his object being to keep his power at a higher pitch, by exercising it only on his own behalf."
Rome,GPE,14890,14894,"And the result to each of them was something unusual; for, when Pompeius was absent from Rome, his name and his influence in the State, by reason of his military exploits, was superior to that of Crassus; but when Pompeius was at Rome, he often fell short of Crassus in influence, for his haughty temper and habitual pride made him avoid crowds and retire from the Forum, and seldom give his aid to those who sought it, and then not readily; his object being to keep his power at a higher pitch, by exercising it only on his own behalf."
State,ORG,14930,14935,"And the result to each of them was something unusual; for, when Pompeius was absent from Rome, his name and his influence in the State, by reason of his military exploits, was superior to that of Crassus; but when Pompeius was at Rome, he often fell short of Crassus in influence, for his haughty temper and habitual pride made him avoid crowds and retire from the Forum, and seldom give his aid to those who sought it, and then not readily; his object being to keep his power at a higher pitch, by exercising it only on his own behalf."
Crassus,PERSON,14997,15004,"And the result to each of them was something unusual; for, when Pompeius was absent from Rome, his name and his influence in the State, by reason of his military exploits, was superior to that of Crassus; but when Pompeius was at Rome, he often fell short of Crassus in influence, for his haughty temper and habitual pride made him avoid crowds and retire from the Forum, and seldom give his aid to those who sought it, and then not readily; his object being to keep his power at a higher pitch, by exercising it only on his own behalf."
Pompeius,PERSON,15015,15023,"And the result to each of them was something unusual; for, when Pompeius was absent from Rome, his name and his influence in the State, by reason of his military exploits, was superior to that of Crassus; but when Pompeius was at Rome, he often fell short of Crassus in influence, for his haughty temper and habitual pride made him avoid crowds and retire from the Forum, and seldom give his aid to those who sought it, and then not readily; his object being to keep his power at a higher pitch, by exercising it only on his own behalf."
Rome,GPE,15031,15035,"And the result to each of them was something unusual; for, when Pompeius was absent from Rome, his name and his influence in the State, by reason of his military exploits, was superior to that of Crassus; but when Pompeius was at Rome, he often fell short of Crassus in influence, for his haughty temper and habitual pride made him avoid crowds and retire from the Forum, and seldom give his aid to those who sought it, and then not readily; his object being to keep his power at a higher pitch, by exercising it only on his own behalf."
Crassus,PERSON,15060,15067,"And the result to each of them was something unusual; for, when Pompeius was absent from Rome, his name and his influence in the State, by reason of his military exploits, was superior to that of Crassus; but when Pompeius was at Rome, he often fell short of Crassus in influence, for his haughty temper and habitual pride made him avoid crowds and retire from the Forum, and seldom give his aid to those who sought it, and then not readily; his object being to keep his power at a higher pitch, by exercising it only on his own behalf."
Forum,FAC,15166,15171,"And the result to each of them was something unusual; for, when Pompeius was absent from Rome, his name and his influence in the State, by reason of his military exploits, was superior to that of Crassus; but when Pompeius was at Rome, he often fell short of Crassus in influence, for his haughty temper and habitual pride made him avoid crowds and retire from the Forum, and seldom give his aid to those who sought it, and then not readily; his object being to keep his power at a higher pitch, by exercising it only on his own behalf."
Crassus,PERSON,15342,15349,"But Crassus was always ready to make himself useful, and he did not keep himself retired, nor was he difficult of access, but he was always busy in everything that was going on, and by the general kindness of his behaviour he got the advantage over the proud bearing of Pompeius."
Pompeius,PERSON,15608,15616,"But Crassus was always ready to make himself useful, and he did not keep himself retired, nor was he difficult of access, but he was always busy in everything that was going on, and by the general kindness of his behaviour he got the advantage over the proud bearing of Pompeius."
Crassus,PERSON,15783,15790,"However, this rivalry did not hurry Crassus into any personal enmity or ill-will, and though, he was annoyed at Pompeius and Cæsar receiving greater honour than himself, he never allowed this jealous feeling to be associated with any hostility or ill disposition."
